"","season","taxa","cor_Norm","cor_Int","pval_Norm","pval_Int"
"1","Fall","Acartia",-0.409839830434248,-0.504459035924011,0.0375854196283779,0.00858860732639378
"2","Spring","Acartia",0.191077773149359,-0.0078483798801773,0.360219739040107,0.970298986861943
"3","Fall","Aglantha",0.427282530927948,0.492175716994572,0.0294667198724204,0.0106475689901211
"4","Spring","Aglantha",0.0502660701120929,0.0572791419758504,0.811405139471035,0.78565551649452
"5","Fall","Calanus",-0.748392565253307,-0.727556109117399,1.09956090762369e-05,2.53585599078589e-05
"6","Spring","Calanus",0.1769234790241,0.208322554999456,0.397534890237769,0.317646671809701
"7","Fall","Cyphocaris",-0.132346309999721,-0.098184528596655,0.519256557548278,0.633235141671719
"8","Spring","Cyphocaris",0.00579133257290324,0.136106452676639,0.97808142088085,0.516518630881352
"9","Fall","Eucalanus",0.137963920719894,0.244042865625874,0.501514889829804,0.229576894353993
"10","Spring","Eucalnus",-0.160872555895072,-0.0985186852437664,0.442364525676629,0.639414858341005
"11","Fall","Euphausia",-0.0640909643865217,0.0442125560309687,0.755763722864685,0.830190086355957
"12","Spring","Euphausia",0.206441897033336,0.271755975113971,0.322133450290493,0.188809630946843
"13","Fall","LargeCop",-0.523515201229671,-0.481476220366312,0.00605790645049813,0.0127609147166852
"14","Spring","LargeCop",0.457832905548516,0.557901379849134,0.0213709977009653,0.00375694994483342
"15","Fall","Larvacean",0.0524966900414212,0.085796112999313,0.821205701843162,0.711549907680299
"16","Spring","Larvacean",-0.367054258574249,-0.316628078072817,0.101677952323088,0.161989537643547
"17","Fall","Limacina",-0.389802748099141,-0.316984812057829,0.0806751217725645,0.161491217904241
"18","Spring","Limacina",0.465184763438147,0.538364154771413,0.0335912405169653,0.011811341184129
"19","Fall","Metridia",-0.0831830950022105,-0.227419883258859,0.686217610741019,0.263863441744384
"20","Spring","Metridia",0.299628930483627,0.302480455163795,0.145635516598696,0.141655160897119
"21","Fall","Microcalanus",-0.0504052949135104,-0.0579792845478638,0.806818555801406,0.778454013461472
"22","Spring","Microcalanus",-0.081009538641222,-0.245234575804285,0.700278555277777,0.237385689056379
"23","Fall","NeocalanusCrist",-0.350571447634557,-0.396923610548136,0.0791107359834806,0.0446727633110498
"24","Spring","NeocalanusCrist",0.434833383796771,0.543472915349024,0.0298367384906702,0.00498834239416717
"25","Spring","NeocalanusPlumFlem",0.28958939432071,0.307503606097597,0.160284296823459,0.134834186967439
"26","Fall","Oikopleura",0.20029569533626,0.143270397432521,0.326557328512724,0.485036495418728
"27","Spring","Oikopleura",-0.396621539279362,-0.396999722225048,0.0496528012556849,0.0494159396406355
"28","Fall","Oithona",-0.440838611800726,-0.470215602063575,0.0241859482814821,0.0153485430564067
"29","Spring","Oithona",0.233430287386845,0.0803446729054479,0.261437725906454,0.702628409684373
"30","Fall","Paraeuchaeta",0.0488061157214941,0.0835651315996978,0.812839287629367,0.684848923242224
"31","Spring","Paraeuchaeta",0.0818260777404807,0.163598952284563,0.69739629769714,0.43456548802936
"32","Fall","Parasagitta",-0.695519965433695,-0.694057543312173,7.99749194064411e-05,8.3988223471049e-05
"33","Spring","Parasagitta",0.422993993661719,0.358615102144181,0.0351402045819808,0.0783454612087882
"34","Fall","Pseudocalanus",-0.366291146498862,-0.463600746595425,0.0657054387927613,0.0170601334017685
"35","Spring","Pseudocalanus",0.317158050001353,0.138773977680283,0.122394948427402,0.508253906656542
"36","Fall","Themisto",-0.619884048861544,-0.732955997824288,0.000731261958980948,2.05707811652094e-05
"37","Spring","Themisto",-0.014937515693539,-0.0473887453229608,0.943503158941666,0.822026642576604
"38","Fall","Thysanoessa",-0.538693672684676,-0.427270391846047,0.00452146244289136,0.0294718330800458
"39","Spring","Thysanoessa",-0.56322898168304,-0.620273695343999,0.0033727212495476,0.000940620298606165
"40","Fall","ThysanoessaInermis",-0.569444850167567,-0.489268276737776,0.00239454160702986,0.0111907254328647
"41","Spring","ThysanoessaInermis",-0.536902258803381,-0.578044374527443,0.00565280731982949,0.00247474439003367
"42","Fall","ThysanoessaInspinata",-0.0228259316823233,0.059408653279331,0.911870273748317,0.773130716563939
"43","Spring","ThysanoessaInspinata",-0.157162158424379,-0.244699341244395,0.45309727025903,0.238443550440128
"44","Fall","ThysanoessaLongipes",-0.471181327249277,-0.428687426899347,0.0151109281925453,0.028879754602042
"45","Spring","ThysanoessaLongipes",-0.435588021925862,-0.489735480463781,0.0295217847135209,0.0129585057801844
"46","Fall","Thysanoessaspinifera",-0.200243811664183,-0.121309525129594,0.326685266647769,0.554972682576671
"47","Spring","Thysanoessaspinifera",-0.38927404240211,-0.43500296033496,0.0544333027272671,0.0297657309141076
"48","Fall","TotEuph",-0.371887202472996,-0.227362695418464,0.0613819623041716,0.263986807831973
"49","Spring","TotEuph",-0.536428766945441,-0.54169512398194,0.00570343346828995,0.0051612679366233
